date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:40	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Sep%202020%2016:51:39%20GMT	https://ledthanhdat.vn/kunka/assets/css/owl.video.play.png	C:/My%20Web%20Sites/Website%20Template/ledthanhdat.vn/kunka/assets/css/owl.video.play.png	(from http://duruthemes.com/demo/html/togo/onepage-dark/assets/css/owl.carousel.min.css)
13:52:32	359448/359448	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Dec%202019%2012:52:15%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/contact.jpg	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/contact.jpg	(from http://duruthemes.com/demo/html/togo/onepage-dark/assets/css/style.css)
13:52:38	346997/346997	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202019%2017:27:01%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/projects/7.jpg	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/projects/7.jpg	(from http://duruthemes.com/demo/html/togo/onepage-dark/project.html)
13:52:39	8522/8522	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202020%2011:22:11%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/blog.html	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/blog.html	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:52:43	22549/22549	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Dec%202019%2021:02:30%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/clients/1.png	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/clients/1.png	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:52:45	400429/400429	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202019%2017:26:50%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/projects/6.jpg	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/projects/6.jpg	(from http://duruthemes.com/demo/html/togo/onepage-dark/project.html)
13:52:45	11660/11660	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Dec%202019%2021:00:10%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/clients/4.png	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/clients/4.png	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:52:47	234269/234269	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Feb%202019%2021:25:38%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/fonts/themify.svg	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/fonts/themify.svg	(from http://duruthemes.com/demo/html/togo/onepage-dark/assets/css/themify-icons.css)
13:52:57	198742/198742	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2017:07:24%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/projects/1.jpg	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/projects/1.jpg	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:53:20	1107538/1107538	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202019%2017:37:37%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/projects/5.jpg	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/projects/5.jpg	(from http://duruthemes.com/demo/html/togo/onepage-dark/project.html)
13:53:34	180321/180321	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2017:05:33%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/blog/3.jpg	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/blog/3.jpg	(from http://duruthemes.com/demo/html/togo/onepage-dark/blog.html)
13:53:36	205029/205029	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2017:05:35%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/blog/4.jpg	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/blog/4.jpg	(from http://duruthemes.com/demo/html/togo/onepage-dark/blog.html)
